restaurante,gastronomia,precio,opinion,reseña,url
Yakiniku Rikyu,Japonesa,Medio,267 opiniones,Patrocinado,https://www.tripadvisor.es/Restaurant_Review-g187514-d13442478-Reviews-Yakiniku_Rikyu-Madrid.html
marmitón,Mediterránea,Medio,89 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d19983713-Reviews-Marmiton-Madrid.html
Vinoteca Moratín,Internacional,Medio,1221 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d3669444-Reviews-Moratin_Vinoteca_Bistrot-Madrid.html
Pilar Akaneya,Japonesa,Alto,276 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d21058665-Reviews-Pilar_Akaneya-Madrid.html
Gioia,Italiana,Medio,387 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d7742934-Reviews-Gioia-Madrid.html
Noi Ristorante,Italiana,Medio,244 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d17723730-Reviews-Noi_Ristorante-Madrid.html
Mudrá Plant Based Recoletos,Internacional,Medio,67 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d23954931-Reviews-Mudra_Plant_Based_Recoletos-Madrid.html
La MaMá Restaurante,Mediterránea,Medio,225 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d7933973-Reviews-La_MaMa_Restaurante-Madrid.html
Sisapo,Mediterránea,Medio,71 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d19951663-Reviews-Sisapo-Madrid.html
RECREO Espartinas,Mediterránea,Medio,366 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d10678592-Reviews-RECREO_Espartinas-Madrid.html
Miyama,Japonesa,Alto,837 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d3686487-Reviews-Miyama-Madrid.html
Deessa,Mediterránea,Alto,52 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d23308906-Reviews-Deessa-Madrid.html
Hotaru Madrid,Japonesa,Alto,199 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d25092639-Reviews-Hotaru_Madrid-Madrid.html
Yugo the Bunker,Japonesa,Alto,342 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d8738363-Reviews-Yugo_The_Bunker-Madrid.html
Coque,Internacional,Alto,476 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d12864731-Reviews-Coque-Madrid.html
El pedrusco de Aldealcorvo,Internacional,Medio,223 opinionesCierra en 6 minutos,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d991390-Reviews-El_pedrusco_de_Aldealcorvo-Madrid.html
KABUKI WELLINGTON SL,Japonesa,Alto,974 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d23885025-Reviews-BAMMBAO-Madrid.html
Kabuki,Japonesa,Alto,725 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d717249-Reviews-Kabuki-Madrid.html
Restaurante Lakasa,Mediterránea,Medio,1161 opiniones,MICHELIN,https://www.tripadvisor.es/Restaurant_Review-g187514-d2715774-Reviews-Restaurante_lakasa-Madrid.html
Bardero,Mediterránea,Medio,106 opiniones,Comida espectacular por 37€ por persona,https://www.tripadvisor.es/Restaurant_Review-g187514-d23417306-Reviews-Bardero-Madrid.html
Pizzart Fuencarral,Italiana,Medio,940 opiniones,Excelente comida,https://www.tripadvisor.es/Restaurant_Review-g187514-d23151163-Reviews-Pizzart_Villa_Fuencarral-Madrid.html
Ornella Velázquez,Italiana,Medio,2317 opiniones,La parmigiana de la nonna y la atencion 10/10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8855793-Reviews-Ornella_Velazquez-Madrid.html
Lettera Trattoria moderna,Italiana,Medio,1564 opiniones,Muy recomendable,https://www.tripadvisor.es/Restaurant_Review-g187514-d19738350-Reviews-Lettera_Trattoria_Moderna-Madrid.html
Pizzart Villa Canalejas,Italiana,Medio,901 opiniones,Magnifico,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600933-Reviews-Pizzart_Villa_Canalejas-Madrid.html
Pummarola,Italiana,Medio,605 opiniones,8 km,https://www.tripadvisor.es/Restaurant_Review-g580334-d819624-Reviews-Pummarola-Pozuelo_de_Alarcon.html
Brunchit Malasaña,Café,Medio,548 opiniones,Buen brunch,https://www.tripadvisor.es/Restaurant_Review-g187514-d24123606-Reviews-Brunchit_Malasana-Madrid.html
Ouh...Babbo!,Italiana,Medio,665 opiniones,Comida deliciosa a precio ajustado,https://www.tripadvisor.es/Restaurant_Review-g187514-d1023949-Reviews-Ouh_Babbo-Madrid.html
Restaurante Excalibur Madrid,Restaurante de carne,Medio,170 opiniones,Espectáculo,https://www.tripadvisor.es/Restaurant_Review-g187514-d23520831-Reviews-Restaurante_Excalibur_Madrid-Madrid.html
Rigatoni,Italiana,Medio,250 opiniones,15.5 km,https://www.tripadvisor.es/Restaurant_Review-g1063665-d3958441-Reviews-Rigatoni-Majadahonda.html
Davanti Food & Market,Italiana,Medio,413 opiniones,"Buena comida, local muy agradable",https://www.tripadvisor.es/Restaurant_Review-g187514-d14065122-Reviews-Davanti_Food_Market-Madrid.html
Entre Santos Madrid,Mediterránea,Medio,1346 opiniones,Buen ambiente. Coctelería estupenda,https://www.tripadvisor.es/Restaurant_Review-g187514-d14062978-Reviews-Entre_Santos_Madrid-Madrid.html
Trattoria Malatesta,Italiana,Medio,2138 opiniones,Auténtica pizza italiana,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html
Minelli 1960,Italiana,Medio,111 opiniones,Italiano imprescindible,https://www.tripadvisor.es/Restaurant_Review-g187514-d12978009-Reviews-Minelli_1960-Madrid.html
Oven Mozzarella Gran Vía 6,Italiana,Medio,5337 opiniones,Genial,https://www.tripadvisor.es/Restaurant_Review-g187514-d8735932-Reviews-Oven_Mozzarella_Gran_Via_6-Madrid.html
Lab '84,Italiana,Medio,75 opiniones,Muy Fan de este lugar.,https://www.tripadvisor.es/Restaurant_Review-g187514-d19932582-Reviews-Lab_84-Madrid.html
Sibuya Urban Sushi Bar Madrid C/Orense,Japonesa,Medio,871 opiniones,La comida y el servicio,https://www.tripadvisor.es/Restaurant_Review-g187514-d19600810-Reviews-Sibuya_Urban_Sushi_Bar_Madrid_C_Orense-Madrid.html
Gustazio Gastrobar,Italiana,Medio,237 opiniones,La mejor pizza que puedas comer (al menos en Madrid),https://www.tripadvisor.es/Restaurant_Review-g187514-d15683077-Reviews-Gustazio_Gastrobar-Madrid.html
Smok Mok,Japonesa,Bajo,103 opiniones,Increíble!!!!,https://www.tripadvisor.es/Restaurant_Review-g187514-d12215222-Reviews-Smok_Mok-Madrid.html
Piccola Napoli,Italiana,Bajo,500 opiniones,Comida muy rica y a buen precio,https://www.tripadvisor.es/Restaurant_Review-g187514-d3803450-Reviews-Piccola_Napoli-Madrid.html
Piccola Napoli,Italiana,Bajo,500 opiniones,Comida muy rica y a buen precio,https://www.tripadvisor.es/Restaurant_Review-g187514-d20046772-Reviews-Piccola_Napoli-Madrid.html
Da Luca,Italiana,Medio,451 opiniones,14.6 km,https://www.tripadvisor.es/Restaurant_Review-g562645-d7787661-Reviews-Da_Luca-Alcobendas.html
Il Pizzaiolo,Italiana,Medio,929 opiniones,Gran descubrimiento,https://www.tripadvisor.es/Restaurant_Review-g187514-d1066464-Reviews-Il_Pizzaiolo-Madrid.html
Pastamore,Italiana,Medio,1024 opiniones,Deliciosa la comida,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html
Oven Mozzarella,Italiana,Medio,712 opiniones,Excelente como siempre,https://www.tripadvisor.es/Restaurant_Review-g187514-d24190348-Reviews-Oven_Mozzarella-Madrid.html
Gourmet Experience Gran Vía,Japonesa,Medio,1029 opiniones,Gran via,https://www.tripadvisor.es/Restaurant_Review-g187514-d4054213-Reviews-Gourmet_Experience_Gran_Via-Madrid.html
Proverbium,Italiana,Medio,302 opiniones,15 km,https://www.tripadvisor.es/Restaurant_Review-g780710-d4271106-Reviews-Proverbium-Boadilla_del_Monte.html
Dans Le Noir ?,Mediterránea,Alto,460 opiniones,Muy buena experiencia!,https://www.tripadvisor.es/Restaurant_Review-g187514-d12631693-Reviews-Dans_Le_Noir-Madrid.html
Kamado Asian Food X-Madrid,Asiática,Medio,229 opiniones,15 km,https://www.tripadvisor.es/Restaurant_Review-g562646-d19526813-Reviews-Kamado_Asian_Food_X_Madrid-Alcorcon.html
PICCOLO DIAVOLO,Italiana,Medio,689 opiniones,Restaurante italiano Madrid,https://www.tripadvisor.es/Restaurant_Review-g187514-d3438302-Reviews-PICCOLO_DIAVOLO-Madrid.html
Raza Madrid,Restaurante de carne,Alto,188 opiniones,Bien pero sorpresa,https://www.tripadvisor.es/Restaurant_Review-g187514-d23820421-Reviews-Raza_Madrid-Madrid.html
Eatmytrip Brunch & Cocktails Madrid,Americana,Medio,203 opiniones,100% Recomendado,https://www.tripadvisor.es/Restaurant_Review-g187514-d20284702-Reviews-Eatmytrip_Brunch_Cocktails_Madrid-Madrid.html
Pizzeria Vesuvio -Hortaleza,Italiana,Bajo,796 opiniones,"Muy recomendable,personal amable",https://www.tripadvisor.es/Restaurant_Review-g187514-d1625680-Reviews-Pizzeria_Vesuvio_Hortaleza-Madrid.html
